암호화요양기호,요양기관명_x,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,개설일자,좌표(x),좌표(y),동,요양기관명_y,주차가능대수,주차비용부담여부,주차_기타안내사항,응급실 주간운영여부,응급실 야간운영여부,접수시간_평일,접수시간_토요일,오시는 길,휴진 안내,점심시간,비고,일요일 진료시작시간,일요일 진료종료시간,월요일 진료시작시간,월요일 진료종료시간,화요일 진료시작시간,화요일 진료종료시간,수요일 진료시작시간,수요일 진료종료시간,목요일 진료시작시간,목요일 진료종료시간,금요일 진료시작시간,금요일 진료종료시간,토요일 진료시작시간,토요일 진료종료시간,count_null
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,쌍용약국,81,약국,110000,서울,110018,송파구,잠실동,5571,서울특별시 송파구 올림픽로4길 48 (잠실동),2007-03-02,127.0742513,37.5064784,잠실동,쌍용약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,새하늘약국,81,약국,310000,경기,311400,군포시,,15818,경기도 군포시 산본로 390 1층 (산본동),2011-02-07,126.9300554,37.364754,산본동,새하늘약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:15:00,:21:59,9:00:00,22:00:59,9:00:00,22:00:59,9:00:00,22:00:59,9:00:00,22:00:59,9:00:00,22:00:59,9:00:00,22:00:59,0
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjE0ODEjNDEjJDEjJDQjJDgz,시티약국,81,약국,310000,경기,311000,구리시,,11902,경기도 구리시 갈매순환로 7 에이스프라자 (갈매동),2020-01-02,127.1117332,37.6259722,갈매동,시티약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ3MiQyNjEyMjIjNTEjJDEjJDYjJDgz,365건강약국,81,약국,220000,인천,220008,인천계양구,임학동,21034,인천광역시 계양구 장제로 867 (임학동),2014-02-09,126.738057,37.5447518,임학동,365건강약국,10,Y,,N,N,09:00~21:00,09:00~17:00,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz,한사랑약국,81,약국,360000,전남,360300,목포시,,58663,전라남도 목포시 백년대로 391 1층 (옥암동),2010-10-22,126.4289425,34.8082908,옥암동,한사랑약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 12시30분 ~ 14시00분
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 12시30분 ~ 14시00분
토요일 : 없음",:9:00,:12:59,8:30:00,18:00:59,8:30:00,18:00:59,8:30:00,18:00:59,8:30:00,18:00:59,8:30:00,18:00:59,8:30:00,16:00:59,0
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQzIyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz,허브약국,81,약국,310000,경기,310602,수원장안구,율전동,16360,"경기도 수원시 장안구 서부로 2139 6019호 (율전동, SK허브블루)",2010-10-26,126.9716659,37.2994569,율전동,허브약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:30:00,18:20:59,9:30:00,18:20:59,9:30:00,18:20:59,9:30:00,18:20:59,9:30:00,18:20:59,9:30:00,13:00:59,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,새봄약국,81,약국,220000,인천,220006,인천남동구,,21535,인천광역시 남동구 구월로 348 광산빌딩 (만수동),2007-08-01,126.7292363,37.4549797,,새봄약국,,,,N,N,,,만수 새마을금고 4지점 옆건물 5m,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,16:00:59,2
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxMzUxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,한솔약국,81,약국,320000,강원,320300,속초시,,24851,강원도 속초시 동해대로 4288 (교동),1995-04-17,128.5724665,38.1988717,,한솔약국,7,N,길건너 만천교회 주차가능,N,N,,,  ,"[휴진 안내]
일요일 : 전부휴진
공휴일 : 오전9시에서 오후1시까지","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 전부휴진
공휴일 : 오전9시에서 오후1시까지

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEyMjIjNTEjJDEjJDYjJDgz,종로프라자약국,81,약국,310000,경기,310300,부천시,괴안동,14683,경기도 부천시 경인로484번길 20 (괴안동),2002-10-21,126.8096599,37.4825198,괴안동,종로프라자약국,,,,N,N,9:00~20:00,9:00~16:30,역곡역 남쪽으로 나와서 경인국도 인천방향 동쪽 1km,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 13;00~14:00
토요일 : 13:00~14:00","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 13;00~14:00
토요일 : 13:00~14:00",:n:00,:n:59,9:00:00,20:30:59,9:00:00,20:30:59,9:00:00,20:30:59,9:00:00,20:30:59,9:00:00,20:30:59,9:00:00,17:00:59,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxOTYxIzIxIyQxIyQxIyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,미성송파약국,81,약국,110000,서울,110018,송파구,,5676,서울특별시 송파구 송파대로 374 (송파동),2001-02-22,127.1112319,37.5013397,송파동,미성송파약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
